Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Dir_norml_PAR_photn_flux
.3920E+03 .4246E+00 .2199E+00 .1391E+01
.3930E+03 .2579E+00 .1319E+00 .8471E+00
.3940E+03 .2680E+00 .1354E+00 .8826E+00
.3950E+03 .4391E+00 .2193E+00 .1450E+01
.3960E+03 .4136E+00 .2041E+00 .1369E+01
.3970E+03 .2344E+00 .1143E+00 .7779E+00
.3980E+03 .4712E+00 .2271E+00 .1568E+01
.3990E+03 .5945E+00 .2832E+00 .1983E+01
.4000E+03 .6224E+00 .2933E+00 .2081E+01
.4010E+03 .6518E+00 .3008E+00 .2185E+01
.4020E+03 .6813E+00 .3108E+00 .2289E+01
.4030E+03 .6596E+00 .2976E+00 .2222E+01
.4040E+03 .6735E+00 .3007E+00 .2274E+01
.4050E+03 .6601E+00 .2916E+00 .2235E+01
.4060E+03 .6472E+00 .2828E+00 .2196E+01
.4070E+03 .6390E+00 .2761E+00 .2174E+01
.4080E+03 .6701E+00 .2866E+00 .2285E+01
.4090E+03 .7190E+00 .3045E+00 .2458E+01
.4100E+03 .6158E+00 .2582E+00 .2110E+01
.4110E+03 .6925E+00 .2875E+00 .2379E+01
.4120E+03 .7397E+00 .3040E+00 .2548E+01
.4130E+03 .7124E+00 .2900E+00 .2460E+01
.4140E+03 .7080E+00 .2853E+00 .2450E+01
.4150E+03 .7363E+00 .2937E+00 .2554E+01
.4160E+03 .7619E+00 .3008E+00 .2649E+01
.4170E+03 .7461E+00 .2916E+00 .2601E+01
.4180E+03 .7167E+00 .2773E+00 .2504E+01
.4190E+03 .7491E+00 .2870E+00 .2624E+01
.4200E+03 .6892E+00 .2615E+00 .2420E+01
.4210E+03 .7860E+00 .2953E+00 .2766E+01
.4220E+03 .7784E+00 .2895E+00 .2746E+01
.4230E+03 .7568E+00 .2787E+00 .2676E+01
.4240E+03 .7555E+00 .2755E+00 .2678E+01
.4250E+03 .7819E+00 .2823E+00 .2778E+01
.4260E+03 .7630E+00 .2729E+00 .2717E+01
.4270E+03 .7397E+00 .2623E+00 .2640E+01
.4280E+03 .7494E+00 .2635E+00 .2681E+01
.4290E+03 .6969E+00 .2428E+00 .2499E+01
.4300E+03 .5580E+00 .1927E+00 .2006E+01
.4310E+03 .5081E+00 .1739E+00 .1831E+01
.4320E+03 .8487E+00 .2876E+00 .3065E+01
.4330E+03 .7925E+00 .2661E+00 .2868E+01
.4340E+03 .7344E+00 .2444E+00 .2664E+01
.4350E+03 .8079E+00 .2667E+00 .2938E+01
.4360E+03 .8895E+00 .2912E+00 .3242E+01
.4370E+03 .9113E+00 .2958E+00 .3329E+01
.4380E+03 .8025E+00 .2583E+00 .2938E+01
.4390E+03 .7737E+00 .2471E+00 .2839E+01
.4400E+03 .8901E+00 .2817E+00 .3274E+01
.4410E+03 .8812E+00 .2763E+00 .3248E+01
.4420E+03 .9461E+00 .2940E+00 .3496E+01
.4430E+03 .9617E+00 .2965E+00 .3561E+01
.4440E+03 .9402E+00 .2876E+00 .3490E+01
